Detect	Antigen	Parameter	TP	FP	TN	FN	Precision	Recall	F1-score	F1-score_weight
detect	CMV-pp65	100_0.0001_1_-1	17	38	148	1	0.3091	0.9444	0.4658	0.994
detect	CMV-pp65	100_0.0001_1_0	11	3	183	7	0.7857	0.6111	0.6875	0.9981
detect	CMV-pp65	200_0.0001_1_-1	13	10	176	5	0.5652	0.7222	0.6341	0.9965
detect	CMV-pp65	200_0.0001_1_0	11	0	186	7	1.0	0.6111	0.7586	0.9985
detect	CMV-pp65	300_0.0001_1_-1	12	4	182	6	0.75	0.6667	0.7059	0.9974
detect	CMV-pp65	300_0.0001_1_0	11	0	186	7	1.0	0.6111	0.7586	0.9985
detect	Neo-74	100_0.0001_1_-1	61	776	394	3	0.0729	0.9531	0.1354	0.3028
detect	Neo-74	300_0.0001_1_0	34	58	1112	30	0.3696	0.5312	0.4359	0.4043
detect	Neo-Mix	100_0.0001_1_-1	67	359	402	12	0.1573	0.8481	0.2653	0.4319
detect	Neo-Mix	300_0.0001_1_0	19	11	750	60	0.6333	0.2405	0.3486	0.5857
